Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
01.01.2017 00:00;01.01.2017 01:00;47.132,50;31.835,25;580,25
01.01.2017 01:00;01.01.2017 02:00;45.814,25;30.504,75;1.370,50
01.01.2017 02:00;01.01.2017 03:00;44.446,25;29.414,25;1.115,00
01.01.2017 03:00;01.01.2017 04:00;43.226,75;28.458,75;2.270,25
01.01.2017 04:00;01.01.2017 05:00;42.428,75;27.543,75;2.575,75
01.01.2017 05:00;01.01.2017 06:00;41.169,50;25.967,25;3.307,25
01.01.2017 06:00;01.01.2017 07:00;39.645,00;24.117,50;3.861,75
01.01.2017 07:00;01.01.2017 08:00;40.229,00;24.712,75;2.545,50
01.01.2017 08:00;01.01.2017 09:00;40.987,75;25.163,25;1.762,25
01.01.2017 09:00;01.01.2017 10:00;43.452,00;25.971,75;1.641,00
01.01.2017 10:00;01.01.2017 11:00;46.013,25;27.252,25;884,50
01.01.2017 11:00;01.01.2017 12:00;48.592,75;28.916,50;1.105,75
01.01.2017 12:00;01.01.2017 13:00;49.455,75;29.660,75;850,00
01.01.2017 13:00;01.01.2017 14:00;48.346,50;30.412,00;584,50
01.01.2017 14:00;01.01.2017 15:00;47.742,50;33.436,25;59,00
01.01.2017 15:00;01.01.2017 16:00;48.088,50;37.518,75;64,00
01.01.2017 16:00;01.01.2017 17:00;50.456,25;41.323,75;344,00
01.01.2017 17:00;01.01.2017 18:00;54.695,75;45.177,25;2,25
01.01.2017 18:00;01.01.2017 19:00;55.528,25;45.730,75;0,50
01.01.2017 19:00;01.01.2017 20:00;54.804,25;44.630,00;2,75
01.01.2017 20:00;01.01.2017 21:00;52.637,50;41.607,00;9,25
01.01.2017 21:00;01.01.2017 22:00;51.105,25;39.587,25;319,75
01.01.2017 22:00;01.01.2017 23:00;50.870,50;38.618,50;728,25
01.01.2017 23:00;02.01.2017 00:00;48.255,75;36.106,75;1.462,25
02.01.2017 00:00;02.01.2017 01:00;45.538,00;33.192,50;2.774,50
02.01.2017 01:00;02.01.2017 02:00;43.685,75;30.922,75;2.677,50
02.01.2017 02:00;02.01.2017 03:00;42.731,25;30.303,75;2.801,50
02.01.2017 03:00;02.01.2017 04:00;42.978,75;30.721,50;3.361,00
02.01.2017 04:00;02.01.2017 05:00;44.479,00;32.807,25;2.913,25
02.01.2017 05:00;02.01.2017 06:00;47.204,75;35.678,50;3.305,00
02.01.2017 06:00;02.01.2017 07:00;53.216,50;41.484,50;1.872,25
02.01.2017 07:00;02.01.2017 08:00;59.847,00;48.268,25;598,00
