MESS_DATUM_WOZ;"Arithmetisches Mittel
Sonnenschein in Minuten";Datum;Uhrzeit
2017010101:00;0;2017-01-01;01:00
2017010102:00;0;2017-01-01;02:00
2017010103:00;0;2017-01-01;03:00
2017010104:00;0;2017-01-01;04:00
2017010105:00;0;2017-01-01;05:00
2017010106:00;0;2017-01-01;06:00
2017010107:00;0;2017-01-01;07:00
2017010108:00;4;2017-01-01;08:00
2017010109:00;20;2017-01-01;09:00
2017010110:00;25;2017-01-01;10:00
2017010111:00;27;2017-01-01;11:00
2017010112:00;28;2017-01-01;12:00
2017010113:00;29;2017-01-01;13:00
2017010114:00;30;2017-01-01;14:00
2017010115:00;25;2017-01-01;15:00
2017010116:00;4;2017-01-01;16:00
2017010117:00;0;2017-01-01;17:00
2017010118:00;0;2017-01-01;18:00
2017010119:00;0;2017-01-01;19:00
2017010120:00;0;2017-01-01;20:00
2017010121:00;0;2017-01-01;21:00
2017010122:00;0;2017-01-01;22:00
2017010123:00;0;2017-01-01;23:00
2017010200:00;0;2017-01-02;00:00
2017010201:00;0;2017-01-02;01:00
2017010202:00;0;2017-01-02;02:00
2017010203:00;0;2017-01-02;03:00
2017010204:00;0;2017-01-02;04:00
2017010205:00;0;2017-01-02;05:00
2017010206:00;0;2017-01-02;06:00
2017010207:00;0;2017-01-02;07:00
2017010208:00;1;2017-01-02;08:00
2017010209:00;8;2017-01-02;09:00
2017010210:00;9;2017-01-02;10:00
2017010211:00;8;2017-01-02;11:00
2017010212:00;9;2017-01-02;12:00
2017010213:00;10;2017-01-02;13:00
2017010214:00;10;2017-01-02;14:00
2017010215:00;7;2017-01-02;15:00
2017010216:00;0;2017-01-02;16:00
2017010217:00;0;2017-01-02;17:00
2017010218:00;0;2017-01-02;18:00
2017010219:00;0;2017-01-02;19:00
2017010220:00;0;2017-01-02;20:00
2017010221:00;0;2017-01-02;21:00
2017010222:00;0;2017-01-02;22:00
2017010223:00;0;2017-01-02;23:00
2017010300:00;0;2017-01-03;00:00
2017010301:00;0;2017-01-03;01:00
2017010302:00;0;2017-01-03;02:00
2017010303:00;0;2017-01-03;03:00
2017010304:00;0;2017-01-03;04:00
2017010305:00;0;2017-01-03;05:00
2017010306:00;0;2017-01-03;06:00
2017010307:00;0;2017-01-03;07:00
2017010308:00;0;2017-01-03;08:00
2017010309:00;3;2017-01-03;09:00
2017010310:00;5;2017-01-03;10:00
2017010311:00;6;2017-01-03;11:00
2017010312:00;8;2017-01-03;12:00
2017010313:00;8;2017-01-03;13:00
2017010314:00;7;2017-01-03;14:00
2017010315:00;6;2017-01-03;15:00
2017010316:00;2;2017-01-03;16:00
2017010317:00;0;2017-01-03;17:00
2017010318:00;0;2017-01-03;18:00
2017010319:00;0;2017-01-03;19:00
2017010320:00;0;2017-01-03;20:00
2017010321:00;0;2017-01-03;21:00
2017010322:00;0;2017-01-03;22:00
2017010323:00;0;2017-01-03;23:00
2017010400:00;0;2017-01-04;00:00
2017010401:00;0;2017-01-04;01:00
2017010402:00;0;2017-01-04;02:00
2017010403:00;0;2017-01-04;03:00
2017010404:00;0;2017-01-04;04:00
